,Artist,Streams,Daily,As lead,Solo,As feature
231,Gusttavo Lima,"7,390.5",4.301,"6,089.3","5,672.2","1,301.2"
232,Alicia Keys,"7,337.0",3.566,"5,331.5","4,736.0","2,005.5"
233,Peso Pluma,"7,323.0",35.390,"3,431.8","1,060.4","3,891.3"
234,Lorde,"7,240.4",3.192,"6,941.4","6,626.0",299.1
235,YG,"7,223.8",1.892,"3,395.7",872.0,"3,828.2"
236,Julia Michaels,"7,198.6",2.210,"3,411.0","2,505.0","3,787.6"
237,Radiohead,"7,143.5",5.560,"7,143.5","7,084.0",
238,Junior H,"7,132.3",17.537,"5,006.8","3,195.6","2,125.5"
239,Bastille,"7,132.0",2.353,"4,730.4","4,322.6","2,401.7"
240,NAV,"7,106.3",2.404,"4,640.1","1,548.4","2,466.2"
241,Christina Aguilera,"7,096.7",3.052,"4,051.8","3,073.3","3,044.9"
242,David Bowie,"7,062.8",3.038,"5,639.9","5,517.4","1,423.0"
243,Jul,"7,060.8",5.875,"5,384.3","4,350.6","1,676.5"
244,Melanie Martinez,"7,055.7",5.090,"7,055.7","6,942.9",
245,Wisin & Yandel,"7,048.6",4.557,"4,741.8","2,705.6","2,306.8"
246,U2,"7,040.9",3.185,"6,637.3","6,456.0",403.6
247,TWICE,"7,030.1",4.421,"6,981.4","6,960.2",48.8
248,Kehlani,"7,018.6",2.124,"3,601.3","2,428.8","3,417.3"
249,Foo Fighters,"7,018.2",3.856,"7,018.2","7,011.9",
250,Tame Impala,"7,012.7",5.061,"6,520.4","6,433.7",492.3
251,Don Toliver,"6,993.7",7.155,"3,547.4","2,578.5","3,446.4"
252,The 1975,"6,933.3",3.322,"6,731.6","6,709.8",201.7
253,Elvis Presley,"6,917.0",3.327,"6,879.1","6,264.2",38.0
254,Ninho,"6,885.6",4.387,"3,991.1","3,075.6","2,894.5"
255,The Notorious B.I.G.,"6,859.7",3.527,"5,791.7","4,228.7","1,067.9"
256,Troye Sivan,"6,852.2",3.321,"4,669.2","3,837.1","2,183.0"
257,Jhené Aiko,"6,849.5",3.061,"3,634.5","1,894.3","3,215.0"
258,blink-182,"6,806.9",3.172,"6,706.6","6,673.5",100.3
259,System Of A Down,"6,798.7",4.508,"6,797.9","6,787.8",0.8
260,Dalex,"6,784.0",2.460,"3,132.5",384.6,"3,651.6"
261,The Killers,"6,780.7",3.103,"6,780.2","6,632.8",0.5
262,Paulo Londra,"6,765.8",3.066,"5,364.9","4,343.8","1,400.9"
263,ABBA,"6,729.2",4.574,"6,729.2","6,729.2",
264,Frank Sinatra,"6,712.5",2.850,"6,519.7","4,878.3",192.8
265,Tove Lo,"6,654.7",2.291,"4,149.1","3,040.3","2,505.7"
266,6ix9ine,"6,645.7",1.728,"5,358.2","1,848.6","1,287.5"
267,Led Zeppelin,"6,580.0",2.925,"6,580.0","6,580.0",
268,T-Pain,"6,572.2",3.061,"2,787.1",483.0,"3,785.1"
269,Rita Ora,"6,546.8",1.922,"3,318.8","2,506.5","3,228.0"
270,Paramore,"6,498.2",4.243,"6,498.2","6,486.1",
271,Kesha,"6,455.4",2.877,"4,496.4","4,063.0","1,958.9"
272,Slipknot,"6,417.6",3.956,"6,417.6","6,417.6",
273,Rae Sremmurd,"6,407.1",1.800,"5,654.3","3,068.2",752.8
274,NATTI NATASHA,"6,394.8",1.810,"2,773.7",581.4,"3,621.1"
275,Rammstein,"6,390.3",4.216,"6,390.3","6,294.6",
276,PARTYNEXTDOOR,"6,388.8",3.752,"3,899.2","2,286.8","2,489.6"
277,Marc Anthony,"6,369.7",2.764,"3,936.1","3,701.4","2,433.6"
278,De La Ghetto,"6,352.4",2.858,"1,006.5",308.4,"5,345.9"
279,Bon Jovi,"6,294.1",3.493,"6,292.3","6,214.2",1.8
280,6LACK,"6,291.7",2.226,"3,036.3","2,074.9","3,255.4"
281,Daniel Caesar,"6,279.4",5.326,"4,517.7","2,188.6","1,761.6"
282,Anderson .Paak,"6,251.5",3.203,"2,017.6","1,067.1","4,233.9"
283,Tainy,"6,234.3",6.307,"2,599.4",,"3,635.0"
284,Ñengo Flow,"6,206.1",4.688,"1,164.6",362.8,"5,041.5"
285,Chencho Corleone,"6,201.0",4.549,147.5,70.8,"6,053.5"
286,Madonna,"6,188.3",5.649,"5,760.0","4,794.1",428.3
287,Alok,"6,175.7",3.451,"4,890.8",199.4,"1,284.9"
288,Bonez MC,"6,147.8",2.514,"3,272.9",674.1,"2,874.9"
289,T.I.,"6,135.8",2.135,"3,169.8","1,151.6","2,966.0"
290,Luke Bryan,"6,122.2",3.195,"5,330.0","5,241.9",792.2
291,Muse,"6,097.6",3.142,"6,097.6","6,075.0",
292,Creedence Clearwater Revival,"6,084.0",4.866,"6,084.0","6,079.9",
293,Jennifer Lopez,"6,030.4",2.396,"4,885.5","2,020.4","1,145.0"
294,Felix Jaehn,"6,018.7",2.551,"2,698.3",45.1,"3,320.4"
295,Grupo Firme,"6,014.6",6.717,"4,791.2","1,583.2","1,223.4"
296,Jonas Brothers,"5,986.5",4.062,"4,735.9","4,543.5","1,250.6"
297,Juicy J,"5,977.6",2.141,"1,299.5",115.6,"4,678.1"
298,Zé Neto & Cristiano,"5,932.5",4.020,"5,052.3","4,856.2",880.2
299,Oasis,"5,918.0",3.062,"5,918.0","5,917.3",
300,The Lumineers,"5,900.7",4.973,"5,883.7","5,869.7",17.0
301,Niall Horan,"5,895.6",2.634,"4,789.1","4,466.2","1,106.5"
302,Rels B,"5,894.2",8.613,"4,886.8","3,990.0","1,007.4"
303,Natanael Cano,"5,866.2",11.929,"4,113.3","2,235.6","1,752.9"
304,Jack Johnson,"5,858.2",2.351,"5,648.6","5,486.6",209.6
305,Fetty Wap,"5,852.9",1.145,"3,822.2","2,159.9","2,030.7"
306,Steve Aoki,"5,847.9",1.793,"3,432.7",11.8,"2,415.2"
307,Charli XCX,"5,835.2",3.510,"2,824.7","1,689.1","3,010.5"
